n1;n2;s1;s2;year;kind
Bulgarien;Luxemburg;4;3;2018;wmqual
Schweden;Niederlande;1;1;2018;wmqual
Weissrussland;Frankreich;0;0;2018;wmqual
Niederlande;Weissrussland;4;1;2018;wmqual
Frankreich;Bulgarien;4;1;2018;wmqual
Luxemburg;Schweden;0;1;2018;wmqual
Niederlande;Frankreich;0;1;2018;wmqual
Schweden;Bulgarien;3;0;2018;wmqual
Weissrussland;Luxemburg;1;1;2018;wmqual
Frankreich;Schweden;2;1;2018;wmqual
Bulgarien;Weissrussland;1;0;2018;wmqual
Luxemburg;Niederlande;1;3;2018;wmqual
Schweden;Weissrussland;4;0;2018;wmqual
Bulgarien;Niederlande;2;0;2018;wmqual
Luxemburg;Frankreich;1;3;2018;wmqual
Niederlande;Luxemburg;5;0;2018;wmqual
Schweden;Frankreich;2;1;2018;wmqual
Weissrussland;Bulgarien;2;1;2018;wmqual
Frankreich;Niederlande;4;0;2018;wmqual
Bulgarien;Schweden;3;2;2018;wmqual
Luxemburg;Weissrussland;1;0;2018;wmqual
Niederlande;Bulgarien;3;1;2018;wmqual
Weissrussland;Schweden;0;4;2018;wmqual
Frankreich;Luxemburg;0;0;2018;wmqual
Schweden;Luxemburg;8;0;2018;wmqual
Bulgarien;Frankreich;0;1;2018;wmqual
Weissrussland;Niederlande;1;3;2018;wmqual
Niederlande;Schweden;2;0;2018;wmqual
Frankreich;Weissrussland;2;1;2018;wmqual
Luxemburg;Bulgarien;1;1;2018;wmqual
Faeroeer;Ungarn;0;0;2018;wmqual
Andorra;Lettland;0;1;2018;wmqual
Portugal;Andorra;6;0;2018;wmqual
Ungarn;Schweiz;2;3;2018;wmqual
Lettland;Faeroeer;0;2;2018;wmqual
Faeroeer;Portugal;0;6;2018;wmqual
Lettland;Ungarn;0;2;2018;wmqual
Andorra;Schweiz;1;2;2018;wmqual
Ungarn;Andorra;4;0;2018;wmqual
Schweiz;Faeroeer;2;0;2018;wmqual
Portugal;Lettland;4;1;2018;wmqual
Schweiz;Lettland;1;0;2018;wmqual
Andorra;Faeroeer;0;0;2018;wmqual
Portugal;Ungarn;3;0;2018;wmqual
Faeroeer;Schweiz;0;2;2018;wmqual
Lettland;Portugal;0;3;2018;wmqual
Andorra;Ungarn;1;0;2018;wmqual
Portugal;Faeroeer;5;1;2018;wmqual
Schweiz;Andorra;3;0;2018;wmqual
Ungarn;Lettland;3;1;2018;wmqual
Faeroeer;Andorra;1;0;2018;wmqual
Lettland;Schweiz;0;3;2018;wmqual
Ungarn;Portugal;0;1;2018;wmqual
Faeroeer;Lettland;0;0;2018;wmqual
Andorra;Portugal;0;2;2018;wmqual
Schweiz;Ungarn;5;2;2018;wmqual
Portugal;Schweiz;2;0;2018;wmqual
Ungarn;Faeroeer;1;0;2018;wmqual
Lettland;Andorra;4;0;2018;wmqual
San Marino;Aserbaidschan;0;1;2018;wmqual
Tschechien;Nordirland;0;0;2018;wmqual
Norwegen;Deutschland;0;3;2018;wmqual
Aserbaidschan;Norwegen;1;0;2018;wmqual
Deutschland;Tschechien;3;0;2018;wmqual
Nordirland;San Marino;4;0;2018;wmqual
Deutschland;Nordirland;2;0;2018;wmqual
Tschechien;Aserbaidschan;0;0;2018;wmqual
Norwegen;San Marino;4;1;2018;wmqual
Tschechien;Norwegen;2;1;2018;wmqual
Nordirland;Aserbaidschan;4;0;2018;wmqual
San Marino;Deutschland;0;8;2018;wmqual
Aserbaidschan;Deutschland;1;4;2018;wmqual
San Marino;Tschechien;0;6;2018;wmqual
Nordirland;Norwegen;2;0;2018;wmqual
Aserbaidschan;Nordirland;0;1;2018;wmqual
Deutschland;San Marino;7;0;2018;wmqual
Norwegen;Tschechien;1;1;2018;wmqual
Tschechien;Deutschland;1;2;2018;wmqual
Norwegen;Aserbaidschan;2;0;2018;wmqual
San Marino;Nordirland;0;3;2018;wmqual
Aserbaidschan;San Marino;5;1;2018;wmqual
Deutschland;Norwegen;6;0;2018;wmqual
Nordirland;Tschechien;2;0;2018;wmqual
San Marino;Norwegen;0;8;2018;wmqual
Nordirland;Deutschland;1;3;2018;wmqual
Deutschland;Aserbaidschan;5;1;2018;wmqual
Tschechien;San Marino;5;0;2018;wmqual
Norwegen;Nordirland;1;0;2018;wmqual
Georgien;Oesterreich;1;2;2018;wmqual
Wales;Moldawien;4;0;2018;wmqual
Serbien;Irland;2;2;2018;wmqual
Oesterreich;Wales;2;2;2018;wmqual
Irland;Georgien;1;0;2018;wmqual
Moldawien;Serbien;0;3;2018;wmqual
Wales;Georgien;1;1;2018;wmqual
Serbien;Oesterreich;3;2;2018;wmqual
Moldawien;Irland;1;3;2018;wmqual
Oesterreich;Irland;0;1;2018;wmqual
Georgien;Moldawien;1;1;2018;wmqual
Wales;Serbien;1;1;2018;wmqual
Georgien;Serbien;1;3;2018;wmqual
Oesterreich;Moldawien;2;0;2018;wmqual
Irland;Wales;0;0;2018;wmqual
Irland;Oesterreich;1;1;2018;wmqual
Moldawien;Georgien;2;2;2018;wmqual
Serbien;Wales;1;1;2018;wmqual
Serbien;Moldawien;3;0;2018;wmqual
Georgien;Irland;1;1;2018;wmqual
Oesterreich;Georgien;1;1;2018;wmqual
Irland;Serbien;0;1;2018;wmqual
Moldawien;Wales;0;2;2018;wmqual
Georgien;Wales;0;1;2018;wmqual
Oesterreich;Serbien;3;2;2018;wmqual
Irland;Moldawien;2;0;2018;wmqual
Wales;Irland;0;1;2018;wmqual
Serbien;Georgien;1;0;2018;wmqual
Moldawien;Oesterreich;0;1;2018;wmqual
Daenemark;Armenien;1;0;2018;wmqual
Kasachstan;Polen;2;2;2018;wmqual
Rumaenien;Montenegro;1;1;2018;wmqual
Montenegro;Kasachstan;5;0;2018;wmqual
Armenien;Rumaenien;0;5;2018;wmqual
Polen;Daenemark;3;2;2018;wmqual
Kasachstan;Rumaenien;0;0;2018;wmqual
Daenemark;Montenegro;0;1;2018;wmqual
Polen;Armenien;2;1;2018;wmqual
Armenien;Montenegro;3;2;2018;wmqual
Rumaenien;Polen;0;3;2018;wmqual
Daenemark;Kasachstan;4;1;2018;wmqual
Armenien;Kasachstan;2;0;2018;wmqual
Rumaenien;Daenemark;0;0;2018;wmqual
Montenegro;Polen;1;2;2018;wmqual
Kasachstan;Daenemark;1;3;2018;wmqual
Polen;Rumaenien;3;1;2018;wmqual
Montenegro;Armenien;4;1;2018;wmqual
Kasachstan;Montenegro;0;3;2018;wmqual
Rumaenien;Armenien;1;0;2018;wmqual
Daenemark;Polen;4;0;2018;wmqual
Armenien;Daenemark;1;4;2018;wmqual
Polen;Kasachstan;3;0;2018;wmqual
Montenegro;Rumaenien;1;0;2018;wmqual
Armenien;Polen;1;6;2018;wmqual
Rumaenien;Kasachstan;3;1;2018;wmqual
Montenegro;Daenemark;0;1;2018;wmqual
Daenemark;Rumaenien;1;1;2018;wmqual
Polen;Montenegro;4;2;2018;wmqual
Kasachstan;Armenien;1;1;2018;wmqual
Slowakei;England;0;1;2018;wmqual
Litauen;Slowenien;2;2;2018;wmqual
Malta;Schottland;1;5;2018;wmqual
England;Malta;2;0;2018;wmqual
Schottland;Litauen;1;1;2018;wmqual
Slowenien;Slowakei;1;0;2018;wmqual
Slowakei;Schottland;3;0;2018;wmqual
Slowenien;England;0;0;2018;wmqual
Litauen;Malta;2;0;2018;wmqual
England;Schottland;3;0;2018;wmqual
Slowakei;Litauen;4;0;2018;wmqual
Malta;Slowenien;0;1;2018;wmqual
England;Litauen;2;0;2018;wmqual
Schottland;Slowenien;1;0;2018;wmqual
Malta;Slowakei;1;3;2018;wmqual
Slowenien;Malta;2;0;2018;wmqual
Schottland;England;2;2;2018;wmqual
Litauen;Slowakei;1;2;2018;wmqual
Slowakei;Slowenien;1;0;2018;wmqual
Litauen;Schottland;0;3;2018;wmqual
Malta;England;0;4;2018;wmqual
England;Slowakei;2;1;2018;wmqual
Schottland;Malta;2;0;2018;wmqual
Slowenien;Litauen;4;0;2018;wmqual
England;Slowenien;1;0;2018;wmqual
Schottland;Slowakei;1;0;2018;wmqual
Malta;Litauen;1;1;2018;wmqual
Slowakei;Malta;3;0;2018;wmqual
Slowenien;Schottland;2;2;2018;wmqual
Litauen;England;0;1;2018;wmqual
Spanien;Liechtenstein;8;0;2018;wmqual
Israel;Italien;1;3;2018;wmqual
Albanien;Mazedonien;2;1;2018;wmqual
Italien;Spanien;1;1;2018;wmqual
Mazedonien;Israel;1;2;2018;wmqual
Liechtenstein;Albanien;0;2;2018;wmqual
Israel;Liechtenstein;2;1;2018;wmqual
Mazedonien;Italien;2;3;2018;wmqual
Albanien;Spanien;0;2;2018;wmqual
Spanien;Mazedonien;4;0;2018;wmqual
Albanien;Israel;0;3;2018;wmqual
Liechtenstein;Italien;0;4;2018;wmqual
Spanien;Israel;4;1;2018;wmqual
Italien;Albanien;2;0;2018;wmqual
Liechtenstein;Mazedonien;0;3;2018;wmqual
Italien;Liechtenstein;5;0;2018;wmqual
Israel;Albanien;0;3;2018;wmqual
Mazedonien;Spanien;1;2;2018;wmqual
Albanien;Liechtenstein;2;0;2018;wmqual
Israel;Mazedonien;0;1;2018;wmqual
Italien;Israel;1;0;2018;wmqual
Mazedonien;Albanien;1;1;2018;wmqual
Liechtenstein;Spanien;0;8;2018;wmqual
Spanien;Albanien;3;0;2018;wmqual
Italien;Mazedonien;1;1;2018;wmqual
Liechtenstein;Israel;0;1;2018;wmqual
Albanien;Italien;0;1;2018;wmqual
Israel;Spanien;0;1;2018;wmqual
Mazedonien;Liechtenstein;4;0;2018;wmqual
Gibraltar;Griechenland;1;4;2018;wmqual
Bosnien-Herzegowina;Estland;5;0;2018;wmqual
Zypern;Belgien;0;3;2018;wmqual
Estland;Gibraltar;4;0;2018;wmqual
Belgien;Bosnien-Herzegowina;4;0;2018;wmqual
Griechenland;Zypern;2;0;2018;wmqual
Gibraltar;Belgien;0;6;2018;wmqual
Bosnien-Herzegowina;Zypern;2;0;2018;wmqual
Estland;Griechenland;0;2;2018;wmqual
Zypern;Gibraltar;3;1;2018;wmqual
Belgien;Estland;8;1;2018;wmqual
Griechenland;Bosnien-Herzegowina;1;1;2018;wmqual
Bosnien-Herzegowina;Gibraltar;5;0;2018;wmqual
Zypern;Estland;0;0;2018;wmqual
Belgien;Griechenland;1;1;2018;wmqual
Gibraltar;Zypern;1;2;2018;wmqual
Bosnien-Herzegowina;Griechenland;0;0;2018;wmqual
Estland;Belgien;0;2;2018;wmqual
Griechenland;Estland;0;0;2018;wmqual
Zypern;Bosnien-Herzegowina;3;2;2018;wmqual
Belgien;Gibraltar;9;0;2018;wmqual
Estland;Zypern;1;0;2018;wmqual
Griechenland;Belgien;1;2;2018;wmqual
Gibraltar;Bosnien-Herzegowina;0;4;2018;wmqual
Bosnien-Herzegowina;Belgien;3;4;2018;wmqual
Gibraltar;Estland;0;6;2018;wmqual
Zypern;Griechenland;1;2;2018;wmqual
Belgien;Zypern;4;0;2018;wmqual
Estland;Bosnien-Herzegowina;1;2;2018;wmqual
Griechenland;Gibraltar;4;0;2018;wmqual
Kroatien;Tuerkei;1;1;2018;wmqual
Ukraine;Island;1;1;2018;wmqual
Finnland;Kosovo;1;1;2018;wmqual
Island;Finnland;3;2;2018;wmqual
Kosovo;Kroatien;0;6;2018;wmqual
Ukraine;Kosovo;3;0;2018;wmqual
Finnland;Kroatien;0;1;2018;wmqual
Island;Tuerkei;2;0;2018;wmqual
Tuerkei;Kosovo;2;0;2018;wmqual
Kroatien;Island;2;0;2018;wmqual
Ukraine;Finnland;1;0;2018;wmqual
Tuerkei;Finnland;2;0;2018;wmqual
Kosovo;Island;1;2;2018;wmqual
Kroatien;Ukraine;1;0;2018;wmqual
Finnland;Ukraine;1;2;2018;wmqual
Island;Kroatien;1;0;2018;wmqual
Kosovo;Tuerkei;1;4;2018;wmqual
Finnland;Island;1;0;2018;wmqual
Kroatien;Kosovo;1;0;2018;wmqual
Island;Ukraine;2;0;2018;wmqual
Kosovo;Finnland;0;1;2018;wmqual
Kroatien;Finnland;1;1;2018;wmqual
Tuerkei;Island;0;3;2018;wmqual
Kosovo;Ukraine;0;2;2018;wmqual
Ukraine;Kroatien;0;2;2018;wmqual
Finnland;Tuerkei;2;2;2018;wmqual
Island;Kosovo;2;0;2018;wmqual
Nordirland;Schweiz;0;1;2018;wmqual
Kroatien;Griechenland;4;1;2018;wmqual
Schweden;Italien;1;0;2018;wmqual
Schweiz;Nordirland;0;0;2018;wmqual
Griechenland;Kroatien;0;0;2018;wmqual
Italien;Schweden;0;0;2018;wmqual
Irland;Daenemark;1;5;2018;wmqual
Kroatien;Mazedonien;1;0;2014;wmqual
Wales;Belgien;0;2;2014;wmqual
Schottland;Serbien;0;0;2014;wmqual
Serbien;Wales;6;1;2014;wmqual
Belgien;Kroatien;1;1;2014;wmqual
Schottland;Mazedonien;1;1;2014;wmqual
Mazedonien;Kroatien;1;2;2014;wmqual
Serbien;Belgien;0;3;2014;wmqual
Wales;Schottland;2;1;2014;wmqual
Kroatien;Wales;2;0;2014;wmqual
Belgien;Schottland;2;0;2014;wmqual
Kroatien;Serbien;2;0;2014;wmqual
Mazedonien;Belgien;0;2;2014;wmqual
Schottland;Wales;1;2;2014;wmqual
Serbien;Schottland;2;0;2014;wmqual
Wales;Kroatien;1;2;2014;wmqual
Belgien;Mazedonien;1;0;2014;wmqual
Kroatien;Schottland;0;1;2014;wmqual
Belgien;Serbien;2;1;2014;wmqual
Mazedonien;Wales;2;1;2014;wmqual
Serbien;Kroatien;1;1;2014;wmqual
Schottland;Belgien;0;2;2014;wmqual
Mazedonien;Schottland;1;2;2014;wmqual
Wales;Serbien;0;3;2014;wmqual
Kroatien;Belgien;1;2;2014;wmqual
Wales;Mazedonien;1;0;2014;wmqual
Serbien;Mazedonien;5;1;2014;wmqual
Schottland;Kroatien;2;0;2014;wmqual
Belgien;Wales;1;1;2014;wmqual
Malta;Armenien;0;1;2014;wmqual
Bulgarien;Italien;2;2;2014;wmqual
Daenemark;Tschechien;0;0;2014;wmqual
Bulgarien;Armenien;1;0;2014;wmqual
Italien;Malta;2;0;2014;wmqual
Tschechien;Malta;3;1;2014;wmqual
Armenien;Italien;1;3;2014;wmqual
Bulgarien;Daenemark;1;1;2014;wmqual
Tschechien;Bulgarien;0;0;2014;wmqual
Italien;Daenemark;3;1;2014;wmqual
Bulgarien;Malta;6;0;2014;wmqual
Tschechien;Daenemark;0;3;2014;wmqual
Armenien;Tschechien;0;3;2014;wmqual
Daenemark;Bulgarien;1;1;2014;wmqual
Malta;Italien;0;2;2014;wmqual
Armenien;Malta;0;1;2014;wmqual
Tschechien;Italien;0;0;2014;wmqual
Daenemark;Armenien;0;4;2014;wmqual
Tschechien;Armenien;1;2;2014;wmqual
Malta;Daenemark;1;2;2014;wmqual
Italien;Bulgarien;1;0;2014;wmqual
Armenien;Daenemark;0;1;2014;wmqual
Malta;Bulgarien;1;2;2014;wmqual
Italien;Tschechien;2;1;2014;wmqual
Armenien;Bulgarien;2;1;2014;wmqual
Malta;Tschechien;1;4;2014;wmqual
Daenemark;Italien;2;2;2014;wmqual
Bulgarien;Tschechien;0;1;2014;wmqual
Daenemark;Malta;6;0;2014;wmqual
Italien;Armenien;2;2;2014;wmqual
Kasachstan;Irland;1;2;2014;wmqual
Deutschland;Faeroeer;3;0;2014;wmqual
Schweden;Kasachstan;2;0;2014;wmqual
Oesterreich;Deutschland;1;2;2014;wmqual
Kasachstan;Oesterreich;0;0;2014;wmqual
Faeroeer;Schweden;1;2;2014;wmqual
Irland;Deutschland;1;6;2014;wmqual
Faeroeer;Irland;1;4;2014;wmqual
Oesterreich;Kasachstan;4;0;2014;wmqual
Deutschland;Schweden;4;4;2014;wmqual
Kasachstan;Deutschland;0;3;2014;wmqual
Oesterreich;Faeroeer;6;0;2014;wmqual
Schweden;Irland;0;0;2014;wmqual
Deutschland;Kasachstan;4;1;2014;wmqual
Irland;Oesterreich;2;2;2014;wmqual
Oesterreich;Schweden;2;1;2014;wmqual
Irland;Faeroeer;3;0;2014;wmqual
Schweden;Faeroeer;2;0;2014;wmqual
Kasachstan;Faeroeer;2;1;2014;wmqual
Deutschland;Oesterreich;3;0;2014;wmqual
Irland;Schweden;1;2;2014;wmqual
Kasachstan;Schweden;0;1;2014;wmqual
Oesterreich;Irland;1;0;2014;wmqual
Faeroeer;Deutschland;0;3;2014;wmqual
Faeroeer;Kasachstan;1;1;2014;wmqual
Deutschland;Irland;3;0;2014;wmqual
Schweden;Oesterreich;2;1;2014;wmqual
Irland;Kasachstan;3;1;2014;wmqual
Schweden;Deutschland;3;5;2014;wmqual
Faeroeer;Oesterreich;0;3;2014;wmqual
Estland;Rumaenien;0;2;2014;wmqual
Andorra;Ungarn;0;5;2014;wmqual
Niederlande;Tuerkei;2;0;2014;wmqual
Rumaenien;Andorra;4;0;2014;wmqual
Tuerkei;Estland;3;0;2014;wmqual
Ungarn;Niederlande;1;4;2014;wmqual
Tuerkei;Rumaenien;0;1;2014;wmqual
Estland;Ungarn;0;1;2014;wmqual
Niederlande;Andorra;3;0;2014;wmqual
Andorra;Estland;0;1;2014;wmqual
Rumaenien;Niederlande;1;4;2014;wmqual
Ungarn;Tuerkei;3;1;2014;wmqual
Andorra;Tuerkei;0;2;2014;wmqual
Ungarn;Rumaenien;2;2;2014;wmqual
Niederlande;Estland;3;0;2014;wmqual
Estland;Andorra;2;0;2014;wmqual
Tuerkei;Ungarn;1;1;2014;wmqual
Niederlande;Rumaenien;4;0;2014;wmqual
Rumaenien;Ungarn;3;0;2014;wmqual
Tuerkei;Andorra;5;0;2014;wmqual
Estland;Niederlande;2;2;2014;wmqual
Rumaenien;Tuerkei;0;2;2014;wmqual
Ungarn;Estland;5;1;2014;wmqual
Andorra;Niederlande;0;2;2014;wmqual
Niederlande;Ungarn;8;1;2014;wmqual
Estland;Tuerkei;0;2;2014;wmqual
Andorra;Rumaenien;0;4;2014;wmqual
Ungarn;Andorra;2;0;2014;wmqual
Tuerkei;Niederlande;0;2;2014;wmqual
Rumaenien;Estland;2;0;2014;wmqual
Albanien;Zypern;3;1;2014;wmqual
Slowenien;Schweiz;0;2;2014;wmqual
Island;Norwegen;2;0;2014;wmqual
Zypern;Island;1;0;2014;wmqual
Norwegen;Slowenien;2;1;2014;wmqual
Schweiz;Albanien;2;0;2014;wmqual
Albanien;Island;1;2;2014;wmqual
Schweiz;Norwegen;1;1;2014;wmqual
Slowenien;Zypern;2;1;2014;wmqual
Zypern;Norwegen;1;3;2014;wmqual
Island;Schweiz;0;2;2014;wmqual
Albanien;Slowenien;1;0;2014;wmqual
Slowenien;Island;1;2;2014;wmqual
Norwegen;Albanien;0;1;2014;wmqual
Zypern;Schweiz;0;0;2014;wmqual
Albanien;Norwegen;1;1;2014;wmqual
Island;Slowenien;2;4;2014;wmqual
Schweiz;Zypern;1;0;2014;wmqual
Norwegen;Zypern;2;0;2014;wmqual
Slowenien;Albanien;1;0;2014;wmqual
Schweiz;Island;4;4;2014;wmqual
Norwegen;Schweiz;0;2;2014;wmqual
Zypern;Slowenien;0;2;2014;wmqual
Island;Albanien;2;1;2014;wmqual
Albanien;Schweiz;1;2;2014;wmqual
Slowenien;Norwegen;3;0;2014;wmqual
Island;Zypern;2;0;2014;wmqual
Zypern;Albanien;0;0;2014;wmqual
Schweiz;Slowenien;1;0;2014;wmqual
Norwegen;Island;1;1;2014;wmqual
Russland;Nordirland;2;0;2014;wmqual
Aserbaidschan;Israel;1;1;2014;wmqual
Luxemburg;Portugal;1;2;2014;wmqual
Israel;Russland;0;4;2014;wmqual
Nordirland;Luxemburg;1;1;2014;wmqual
Portugal;Aserbaidschan;3;0;2014;wmqual
Russland;Portugal;1;0;2014;wmqual
Luxemburg;Israel;0;6;2014;wmqual
Russland;Aserbaidschan;1;0;2014;wmqual
Israel;Luxemburg;3;0;2014;wmqual
Portugal;Nordirland;1;1;2014;wmqual
Nordirland;Aserbaidschan;1;1;2014;wmqual
Israel;Portugal;3;3;2014;wmqual
Luxemburg;Aserbaidschan;0;0;2014;wmqual
Aserbaidschan;Portugal;0;2;2014;wmqual
Nordirland;Israel;0;2;2014;wmqual
Aserbaidschan;Luxemburg;1;1;2014;wmqual
Portugal;Russland;1;0;2014;wmqual
Nordirland;Russland;1;0;2014;wmqual
Russland;Luxemburg;4;1;2014;wmqual
Nordirland;Portugal;2;4;2014;wmqual
Israel;Aserbaidschan;1;1;2014;wmqual
Russland;Israel;3;1;2014;wmqual
Luxemburg;Nordirland;3;2;2014;wmqual
Aserbaidschan;Nordirland;2;0;2014;wmqual
Luxemburg;Russland;0;4;2014;wmqual
Portugal;Israel;1;1;2014;wmqual
Israel;Nordirland;1;1;2014;wmqual
Portugal;Luxemburg;3;0;2014;wmqual
Aserbaidschan;Russland;1;1;2014;wmqual
Liechtenstein;Bosnien-Herzegowina;1;8;2014;wmqual
Litauen;Slowakei;1;1;2014;wmqual
Lettland;Griechenland;1;2;2014;wmqual
Bosnien-Herzegowina;Lettland;4;1;2014;wmqual
Slowakei;Liechtenstein;2;0;2014;wmqual
Griechenland;Litauen;2;0;2014;wmqual
Liechtenstein;Litauen;0;2;2014;wmqual
Slowakei;Lettland;2;1;2014;wmqual
Griechenland;Bosnien-Herzegowina;0;0;2014;wmqual
Lettland;Liechtenstein;2;0;2014;wmqual
Bosnien-Herzegowina;Litauen;3;0;2014;wmqual
Slowakei;Griechenland;0;1;2014;wmqual
Liechtenstein;Lettland;1;1;2014;wmqual
Slowakei;Litauen;1;1;2014;wmqual
Bosnien-Herzegowina;Griechenland;3;1;2014;wmqual
Lettland;Bosnien-Herzegowina;0;5;2014;wmqual
Liechtenstein;Slowakei;1;1;2014;wmqual
Litauen;Griechenland;0;1;2014;wmqual
Lettland;Litauen;2;1;2014;wmqual
Bosnien-Herzegowina;Slowakei;0;1;2014;wmqual
Liechtenstein;Griechenland;0;1;2014;wmqual
Litauen;Liechtenstein;2;0;2014;wmqual
Slowakei;Bosnien-Herzegowina;1;2;2014;wmqual
Griechenland;Lettland;1;0;2014;wmqual
Litauen;Lettland;2;0;2014;wmqual
Bosnien-Herzegowina;Liechtenstein;4;1;2014;wmqual
Griechenland;Slowakei;1;0;2014;wmqual
Griechenland;Liechtenstein;2;0;2014;wmqual
Litauen;Bosnien-Herzegowina;0;1;2014;wmqual
Lettland;Slowakei;2;2;2014;wmqual
Montenegro;Polen;2;2;2014;wmqual
Moldawien;England;0;5;2014;wmqual
San Marino;Montenegro;0;6;2014;wmqual
Polen;Moldawien;2;0;2014;wmqual
England;Ukraine;1;1;2014;wmqual
Moldawien;Ukraine;0;0;2014;wmqual
England;San Marino;5;0;2014;wmqual
Ukraine;Montenegro;0;1;2014;wmqual
San Marino;Moldawien;0;2;2014;wmqual
Polen;England;1;1;2014;wmqual
Montenegro;San Marino;3;0;2014;wmqual
Moldawien;Montenegro;0;1;2014;wmqual
San Marino;England;0;8;2014;wmqual
Ukraine;Moldawien;2;1;2014;wmqual
Polen;San Marino;5;0;2014;wmqual
Montenegro;England;1;1;2014;wmqual
Moldawien;Polen;1;1;2014;wmqual
Montenegro;Ukraine;0;4;2014;wmqual
Ukraine;San Marino;9;0;2014;wmqual
Polen;Montenegro;1;1;2014;wmqual
England;Moldawien;4;0;2014;wmqual
San Marino;Polen;1;5;2014;wmqual
Ukraine;England;0;0;2014;wmqual
Moldawien;San Marino;3;0;2014;wmqual
Ukraine;Polen;1;0;2014;wmqual
England;Montenegro;4;1;2014;wmqual
San Marino;Ukraine;0;8;2014;wmqual
Montenegro;Moldawien;2;5;2014;wmqual
England;Polen;2;0;2014;wmqual
Georgien;Weissrussland;1;0;2014;wmqual
Finnland;Frankreich;0;1;2014;wmqual
Georgien;Spanien;0;1;2014;wmqual
Frankreich;Weissrussland;3;1;2014;wmqual
Finnland;Georgien;1;1;2014;wmqual
Weissrussland;Spanien;0;4;2014;wmqual
Weissrussland;Georgien;2;0;2014;wmqual
Spanien;Frankreich;1;1;2014;wmqual
Spanien;Finnland;1;1;2014;wmqual
Frankreich;Georgien;3;1;2014;wmqual
Frankreich;Spanien;0;1;2014;wmqual
Finnland;Weissrussland;1;0;2014;wmqual
Weissrussland;Finnland;1;1;2014;wmqual
Georgien;Frankreich;0;0;2014;wmqual
Finnland;Spanien;0;2;2014;wmqual
Georgien;Finnland;0;1;2014;wmqual
Weissrussland;Frankreich;2;4;2014;wmqual
Spanien;Weissrussland;2;1;2014;wmqual
Frankreich;Finnland;3;0;2014;wmqual
Spanien;Georgien;2;0;2014;wmqual
Island;Kroatien;0;0;2014;wmqual
Ukraine;Frankreich;2;0;2014;wmqual
Griechenland;Rumaenien;3;1;2014;wmqual
Portugal;Schweden;1;0;2014;wmqual
Rumaenien;Griechenland;1;1;2014;wmqual
Schweden;Portugal;2;3;2014;wmqual
Frankreich;Ukraine;3;0;2014;wmqual
Albanien;Schweden;0;0;2010;wmqual
Ungarn;Daenemark;0;0;2010;wmqual
Malta;Portugal;0;4;2010;wmqual
Schweden;Ungarn;2;1;2010;wmqual
Albanien;Malta;3;0;2010;wmqual
Portugal;Daenemark;2;3;2010;wmqual
Ungarn;Albanien;2;0;2010;wmqual
Daenemark;Malta;3;0;2010;wmqual
Malta;Ungarn;0;1;2010;wmqual
Portugal;Albanien;0;0;2010;wmqual
Malta;Albanien;0;0;2010;wmqual
Malta;Daenemark;0;3;2010;wmqual
Albanien;Ungarn;0;1;2010;wmqual
Portugal;Schweden;0;0;2010;wmqual
Ungarn;Malta;3;0;2010;wmqual
Daenemark;Albanien;3;0;2010;wmqual
Albanien;Portugal;1;2;2010;wmqual
Schweden;Malta;4;0;2010;wmqual
Daenemark;Portugal;1;1;2010;wmqual
Ungarn;Schweden;1;2;2010;wmqual
Malta;Schweden;0;1;2010;wmqual
Albanien;Daenemark;1;1;2010;wmqual
Daenemark;Ungarn;0;1;2010;wmqual
Portugal;Malta;4;0;2010;wmqual
Moldawien;Lettland;1;2;2010;wmqual
Israel;Schweiz;2;2;2010;wmqual
Luxemburg;Griechenland;0;3;2010;wmqual
Moldawien;Israel;1;2;2010;wmqual
Lettland;Griechenland;0;2;2010;wmqual
Schweiz;Luxemburg;1;2;2010;wmqual
Schweiz;Lettland;2;1;2010;wmqual
Luxemburg;Israel;1;3;2010;wmqual
Griechenland;Moldawien;3;0;2010;wmqual
Lettland;Israel;1;1;2010;wmqual
Luxemburg;Moldawien;0;0;2010;wmqual
Griechenland;Schweiz;1;2;2010;wmqual
Luxemburg;Lettland;0;4;2010;wmqual
Moldawien;Schweiz;0;2;2010;wmqual
Israel;Griechenland;1;1;2010;wmqual
Lettland;Luxemburg;2;0;2010;wmqual
Schweiz;Moldawien;2;0;2010;wmqual
Griechenland;Israel;2;1;2010;wmqual
Moldawien;Luxemburg;0;0;2010;wmqual
Israel;Lettland;0;1;2010;wmqual
Schweiz;Griechenland;2;0;2010;wmqual
Israel;Luxemburg;7;0;2010;wmqual
Lettland;Schweiz;2;2;2010;wmqual
Moldawien;Griechenland;1;1;2010;wmqual
Luxemburg;Schweiz;0;3;2010;wmqual
Griechenland;Lettland;5;2;2010;wmqual
Israel;Moldawien;3;1;2010;wmqual
Schweiz;Israel;0;0;2010;wmqual
Griechenland;Luxemburg;2;1;2010;wmqual
Lettland;Moldawien;3;2;2010;wmqual
Polen;Slowenien;1;1;2010;wmqual
Slowakei;Nordirland;2;1;2010;wmqual
San Marino;Polen;0;2;2010;wmqual
Nordirland;Tschechien;0;0;2010;wmqual
Slowenien;Slowakei;2;1;2010;wmqual
San Marino;Slowakei;1;3;2010;wmqual
Polen;Tschechien;2;1;2010;wmqual
Slowenien;Nordirland;2;0;2010;wmqual
Tschechien;Slowenien;1;0;2010;wmqual
